"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GRM4",47.4358219195436,4.58515841459667,0.693018748805582,5.17324880571513,2.30058340213355e-07,3.68114646039536e-05
"GSN",85825.3059216387,-3.20479275533258,0.525631885635103,-4.19455671466468,2.73405739688355e-05,0.00195487500029724
"GYS2",310.01214712176,-9.38279902730894,1.94867242937903,-4.30179998491599,1.69416209516626e-05,0.00131286166666225
"HBA2",4687.2998309208,-6.55566089075929,0.775928286947977,-7.16001850198275,8.06661730326238e-13,1.16166011348064e-09
"HBB",7422.54459681471,-7.32218832039739,0.75115723726376,-8.41659775978093,3.87575596465007e-17,1.67442347062795e-13
"TLX1",318.593961697891,7.46511793648998,1.39458167785521,4.63588331838187,3.55416422864313e-06,0.000352985701351621
"HSD11B1",927.939277180657,-4.51391016606838,0.917641000867954,-3.82928635789458,0.00012851539608754,0.00677095902374625
"IGFBP6",2146.52413050321,-3.51384256541938,0.596415212878697,-4.21492026215412,2.49866454659429e-05,0.00183742221402962
"INHBA",985.39360388551,4.40324418362487,0.671537474402304,5.06783956718707,4.02356300107659e-07,5.83970962188772e-05
"ITGA7",7425.24741101504,-5.07164915112153,0.676463140592796,-6.0190258815188,1.75469815151195e-09,5.51326159205054e-07
"KCNB1",392.491205061332,-5.16800193997027,0.756792168854451,-5.50745913013256,3.64049892480237e-08,7.86393273993872e-06
"KCNG1",366.480093528173,4.75710766334206,0.975187855114649,3.85270144991741,0.000116821795072709,0.00640519895193821
"LEP",13342.7487133952,-9.18731748140263,1.11490744131015,-7.343495233812,2.08086810912148e-13,4.49493522421603e-10
"LEPR",3703.20516550399,-3.74194192503027,0.504175629596863,-5.43846581244461,5.37413190765977e-08,1.0434873426547e-05
"LHCGR",28.1338777116633,-7.18922164046181,1.45369003140485,-4.25759378323625,2.06638983964414e-05,0.00156619661486361
"LIFR",8407.54543581591,-2.81793159118019,0.444500425959121,-4.08983093156221,4.31687740638182e-05,0.00282575600226076
"LIPE",22171.3469282574,-6.9148172044278,0.891700718490896,-6.63318654092593,3.28516200306563e-11,2.10262535462878e-08
"MAOA",12054.2436044498,-5.28266433489656,0.810936115974622,-5.28113651683826,1.28384980317046e-07,2.21862084485887e-05
"MEOX2",1216.16728419915,-3.49075664452439,0.659225362621979,-3.77830827779099,0.000157897343741408,0.00784087355515883
"MFAP2",1799.43174183865,2.84753341067351,0.421575093014905,4.38245390034983,1.17350002212313e-05,0.000956568579354236
"MME",12493.0915325449,-3.5948005885049,0.599976111895706,-4.32483983454987,1.52642724792214e-05,0.0012044835283718
"MMP1",451.312627309509,6.85632779340119,1.23370064928395,4.74696012910447,2.06496637414287e-06,0.000230223767171374
"MMP11",9462.43123735481,6.4436252907971,0.755955228375477,7.20098900895926,5.97773666363968e-13,1.03301267284357e-09
"MMP13",405.365560087505,8.14333468739078,0.789336614489807,9.04979517769858,1.4323676214226e-19,8.25091495526801e-16
"MYBL2",2975.66540597878,5.85915418489728,0.927032283356511,5.24162348187456,1.59169904443229e-07,2.67050011522665e-05
"MYH1",166.707101834421,-7.16158722913276,0.95839883217231,-6.42904292273279,1.28409867392433e-10,5.99743491461793e-08
"MYOC",905.990877684197,-8.96404751159623,1.12527393776851,-7.07742998774985,1.46852340620496e-12,1.95211946020215e-09
"NEK2",862.888424696461,5.12193795926952,0.996223126697248,4.13756501812487,3.51011002020025e-05,0.00236946137730783
"NOVA1",1038.04266173789,-4.24601848472714,0.73189702590739,-4.43507538605283,9.20400751768186e-06,0.000783519477404238
"NPR1",4449.77702968057,-4.64969316698358,0.65868687892172,-5.54086210576743,3.00986164005842e-08,6.84387092129599e-06
"NTRK2",12113.321874927,-3.92239657800296,0.536526785177286,-5.44687918430261,5.12612560144692e-08,1.01581587723217e-05
"PCDH9",568.61622930695,-4.85808471142692,0.753893026125021,-5.11754927785619,3.09531206996348e-07,4.65131198965556e-05
"PCK1",5939.33412227226,-9.02033831818962,1.19530847089204,-6.70984813836728,1.94827065830142e-11,1.40283605192112e-08
"PDE2A",2744.84041536621,-4.13845222578208,0.595180262264286,-5.27311207169782,1.34129597956332e-07,2.29494414087463e-05
"PDE3B",6275.0012826578,-5.91199962716677,1.03961425831791,-4.72482902948481,2.30309038120754e-06,0.000248748155485297
"PDK4",15412.7140345233,-3.2928204434767,0.551620961057492,-4.15651435558435,3.23139876211463e-05,0.0021984961420513
"ENPP2",7896.81225152121,-3.62036708623063,0.517560232551056,-5.06292199714578,4.12878815989974e-07,5.84832690092027e-05
"PFKFB1",723.157904650991,-6.31519949570002,1.02595808110783,-5.18071799771843,2.21033440094239e-07,3.56979334417621e-05
"PLIN1",58744.3741693506,-7.99096483813158,1.1571451919644,-6.04156236112732,1.52628993299787e-09,4.97656911927097e-07
"PLK1",1125.3688947394,4.79163281656825,0.845628525579949,4.48380429689015,7.33239146773849e-06,0.000643203334791821
"FXYD1",811.69117623317,-4.54868086559193,0.845553099561943,-4.19687523755799,2.70622914236344e-05,0.00194859774204928
"PPARG",5247.58362984949,-5.12279708540384,0.732714703266931,-5.62674266944782,1.83644370886948e-08,4.40771996291298e-06
"PPP1R1A",7368.84387548697,-5.98107782916645,0.912342860669048,-5.4596556227926,4.7705901772275e-08,9.58611265728702e-06
"PRELP",8721.0027205814,-3.43120357754983,0.656166544908785,-3.7051623500369,0.000211255377091702,0.00970894914228641
"PRKAR2B",19180.0417264491,-4.34904865669892,0.737108434017134,-4.54349523372984,5.53290570076248e-06,0.000519642083776502
"MAPK10",1159.25254714366,-3.67632129091487,0.607552379444821,-4.40508733314563,1.05741268492918e-05,0.000891100916434644
"MASP1",227.441310587002,-4.1257420455075,0.702104754891642,-4.45195965948116,8.50901541432767e-06,0.000735221476874982
"PTH1R",457.004741015093,-3.81682022680805,0.761798085342012,-3.69759425890842,0.000217652411003463,0.00987205069435917
"PTPRN",107.099154181195,6.62954989547922,0.920207327849205,6.11769731136258,9.49371752763628e-10,3.41793609573088e-07
"PYGM",597.551206118831,-6.05479861545787,0.960251290237781,-5.26403730653273,1.40925833708422e-07,2.38758758070121e-05
"RBP4",11267.6160787519,-7.98829439888246,1.06485023530953,-6.56270165245453,5.28415077841337e-11,3.04384698672538e-08
"RDH5",2461.25333711952,-5.75159171354184,0.896116683337312,-5.30242523311361,1.14274273987165e-07,2.00006013815371e-05
"RGS4",1289.8451780186,4.37742106128812,0.711860160872407,4.74450074175942,2.09021213408855e-06,0.000231544589033232
"SAA1",7310.71303470797,-4.6385859211474,0.944224714236806,-3.85351692905897,0.000116433208904974,0.00640519895193821
"SAA2",3254.7811333726,-5.85794245153973,1.09464544582832,-4.43791409360289,9.08348560908607e-06,0.000777087697082259
"SCN3A",181.974736774683,-3.40299044367311,0.368825359339816,-6.51525276888328,7.25673537417064e-11,3.91886387503259e-08
"SCN4A",971.278875223052,-5.96249485817247,0.751653933016821,-6.6021005680834,4.0537235121897e-11,2.4155998625569e-08
"SCT",11.7115147710068,6.8758720083732,1.55551818528274,3.77743703928807,0.000158450543520214,0.00784579897585337
"CCL11",30.1256807248655,5.87857122868563,1.08416291693329,4.49985067049273,6.80012154208757e-06,0.000599555614126609
"CCL20",38.1669385614871,5.78630118239151,1.25813740016313,3.80427541679542,0.000142219875308612,0.00733642288121828
"SLC2A4",2379.3375643484,-7.31355152013022,0.973012431976937,-6.48866480287671,8.66003943869942e-11,4.27583261543328e-08
"SOD3",3561.38066100009,-4.42991781121332,0.506042719610879,-6.77792146451737,1.21917086828503e-11,9.57658717037892e-09
"SOX11",779.007962233468,5.49616897167916,1.12508060524931,3.99630830955692,6.43379326346255e-05,0.00397079933521058
"SYCP1",15.4991020434378,-6.90411699343291,1.5716997359493,-3.75651713771324,0.000172294477737355,0.00836354176904281
"TACC1",14514.2874686537,-2.8250283440898,0.470518147677212,-3.87876291934613,0.000104989013391826,0.00585695893860128
"TACR1",738.211094872579,-4.06399596125721,0.821203260221009,-3.731105451813,0.000190641398321094,0.00890398379564008
"TDO2",82.9923174078766,4.96014553257441,0.975732772832969,4.05863740855646,4.93598859949037e-05,0.00318279175327586
"TFR2",115.28547188996,4.76783901726041,0.793205260365085,4.75014375916545,2.03272090321986e-06,0.000228100324211314
"TGFBR2",20446.1463939233,-2.85715956572687,0.437140200988659,-4.248430049505,2.1527384256284e-05,0.0016166204478873
"TGFBR3",9738.91777337112,-4.00623073427675,0.634539923811537,-4.73765419868148,2.1620633280124e-06,0.000235674293528916
"THRSP",5949.74539819535,-5.4420153105122,0.9619991637393,-4.61748354670709,3.88421467256138e-06,0.000383560650037333
"TIMP4",6425.16880284052,-7.7260740882565,1.07469615083542,-6.25858209599796,3.88493371214074e-10,1.59846522570248e-07
"CLEC3B",4653.37686450063,-5.16683528495628,0.782996363352786,-5.32165343286387,1.02828329695377e-07,1.85101704736022e-05
"TNNI3",51.9516908440539,7.89221445031679,1.43795335192543,4.79307234903556,1.64246358603502e-06,0.000189222754868474
"TNNT1",705.759059135233,7.73090649294866,1.17301016400943,5.7381484828247,9.57171825178496e-09,2.50619489559236e-06
"TNS1",58547.3762257253,-3.74929467762203,0.681787431964978,-4.03248072452479,5.51911431360307e-05,0.00350646376666819
"TNXB",18001.1121141055,-5.37369296346517,0.782273316178827,-5.59100364669137,2.25760839052238e-08,5.27212575629963e-06
"TOP2A",5313.52181381856,4.40362223453896,0.879389203739658,3.8704389592968,0.000108639557655439,0.00599808369279117
"TPO",119.590423260023,-4.38425991498542,0.878659427756831,-3.85161737082279,0.000117340266379581,0.00640519895193821
"TSHR",90.2317795434518,-5.05677135087308,1.006847174383,-4.02918283339185,5.59710752741656e-05,0.00354298956708006
"TTK",1214.56366629849,5.41052335835842,1.01277763101329,4.35487832995056,1.33140847795906e-05,0.00107514345362666
"ZBTB16",797.466622797598,-5.79744194426207,1.06489332960265,-4.50509155320954,6.63443326959572e-06,0.000587946878625044
"SLC14A2",88.6739283430557,-4.91214031393191,0.785119601750139,-4.98285905129768,6.2651588446655e-07,8.26474885455454e-05
"FZD4",19675.1644977309,-4.24922736000445,0.692327976401172,-4.69319090193991,2.68976272432896e-06,0.000278783789576465
"SRPX",4086.36802378026,-3.06365512363872,0.521998088209654,-3.95337678480134,7.70559523277126e-05,0.00458053540431392
